Valeur fonciere,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Cadastre,Prix m2
178320.0,Maison,94.0,4,644.0,1 289 AP,1897.0212765957447
258800.0,Maison,158.0,7,912.0,1 266 AB,1637.9746835443038
239000.0,Maison,120.0,3,2751.0,1 24 A,1991.6666666666667
80000.0,Appartement,78.0,3,0.0,1 53 AC,1025.6410256410256
359200.0,Maison,100.0,3,194.0,1 53 BC,3592.0
258000.0,Maison,134.0,5,3079.0,1 245 D,1925.3731343283582
160000.0,Maison,94.0,4,926.0,1 408 C,1702.127659574468
70000.0,Appartement,70.0,3,0.0,1 53 AC,1000.0
318770.0,Maison,145.0,6,711.0,1 451 ZC,2198.4137931034484
187500.0,Maison,104.0,5,705.0,1 289 AP,1802.8846153846155
104762.0,Appartement,48.0,2,0.0,1 53 AO,2182.5416666666665
94080.0,Maison,84.0,4,416.0,1 306 A,1120.0
36000.0,Maison,24.0,2,26.0,1 4 BD,1500.0
165000.0,Appartement,48.0,3,0.0,1 103 A,3437.5
364730.0,Appartement,82.0,4,0.0,1 313 AX,4447.926829268293
445200.0,Appartement,133.0,5,0.0,1 354 BD,3347.3684210526317
450250.0,Appartement,118.0,4,0.0,1 143 AO,3815.677966101695
72500.0,Appartement,43.0,2,0.0,1 118 AR,1686.046511627907
448100.0,Appartement,83.0,2,0.0,1 160 AK,5398.795180722892
182900.0,Maison,100.0,3,176.0,1 224 A,1829.0
859900.0,Maison,145.0,5,954.0,1 281 AO,5930.3448275862065
20000.0,Maison,33.0,1,63.0,1 149 B,606.060606060606
120000.0,Maison,61.0,3,576.0,1 452 AB,1967.2131147540983
669500.0,Appartement,113.0,3,0.0,1 143 AP,5924.778761061947
243000.0,Maison,148.0,4,854.0,1 216 H,1641.8918918918919
150000.0,Appartement,66.0,3,787.0,1 282 A,2272.7272727272725
722300.0,Maison,207.0,6,1000.0,1 173 E,3489.3719806763283
415000.0,Appartement,74.0,3,0.0,1 143 AK,5608.108108108108
720000.0,Appartement,130.0,6,0.0,1 143 AK,5538.461538461538
690810.0,Appartement,129.0,4,0.0,1 180 AP,5355.116279069767
429250.0,Maison,109.0,5,0.0,1 288 C,3938.0733944954127
483000.0,Appartement,98.0,4,0.0,1 143 AV,4928.571428571428
158450.0,Appartement,68.0,2,0.0,1 158 B,2330.1470588235293
309957.0,Appartement,43.0,2,0.0,1 143 AE,7208.302325581395
138400.0,Maison,90.0,4,957.0,1 303 AC,1537.7777777777778
302000.0,Maison,86.0,4,111.0,1 109 F,3511.6279069767443
50000.0,Appartement,120.0,6,960.0,1 265 AI,416.6666666666667
277000.0,Appartement,71.0,3,0.0,1 173 AH,3901.4084507042253
125000.0,Maison,100.0,5,257.0,1 269 AB,1250.0
222800.0,Maison,87.0,4,529.0,1 8 A,2560.919540229885
165000.0,Appartement,43.0,2,0.0,1 71 AA,3837.2093023255816
230000.0,Appartement,49.0,3,0.0,1 345 AD,4693.877551020408
656249.0,Maison,137.0,4,800.0,1 354 AB,4790.138686131387
495000.0,Maison,98.0,5,130.0,1 135 C,5051.0204081632655
184500.0,Maison,140.0,5,680.0,1 247 A,1317.857142857143
217000.0,Maison,104.0,5,738.0,1 181 A,2086.5384615384614
182925.0,Appartement,93.0,5,0.0,1 4 BT,1966.9354838709678
282000.0,Maison,110.0,5,726.0,1 202 ZA,2563.6363636363635
220900.0,Appartement,91.0,4,0.0,1 33 AE,2427.4725274725274
302500.0,Appartement,82.0,5,0.0,1 313 AN,3689.0243902439024
197000.0,Appartement,48.0,2,0.0,1 360 D,4104.166666666667
285000.0,Appartement,64.0,3,0.0,1 160 AK,4453.125
168200.0,Appartement,41.0,2,0.0,1 288 F,4102.4390243902435
588910.0,Maison,138.0,5,588.0,1 288 B,4267.463768115942
285500.0,Appartement,87.0,3,0.0,1 288 C,3281.609195402299
425000.0,Maison,101.0,4,0.0,1 160 AD,4207.920792079208
262000.0,Appartement,52.0,2,0.0,1 354 BH,5038.461538461538
89640.0,Maison,110.0,5,517.0,1 219 AB,814.9090909090909
478150.0,Appartement,86.0,4,0.0,1 143 F,5559.883720930233
872425.0,Maison,180.0,6,1431.0,1 71 AI,4846.805555555556
520000.0,Appartement,133.0,4,0.0,1 354 BD,3909.7744360902257
395000.0,Maison,108.0,5,233.0,1 71 AI,3657.4074074074074
490400.0,Appartement,109.0,4,0.0,1 160 AK,4499.082568807339
49990.0,Appartement,100.0,3,0.0,1 283 D,499.9
282873.0,Maison,74.0,4,183.0,1 109 F,3822.608108108108
563130.0,Maison,96.0,4,0.0,1 143 H,5865.9375
128700.0,Appartement,64.0,4,0.0,1 173 AD,2010.9375
208350.0,Maison,112.0,6,293.0,1 4 AL,1860.267857142857
535000.0,Maison,117.0,5,0.0,1 354 AB,4572.649572649572
107000.0,Maison,88.0,4,72.0,1 7 ZW,1215.909090909091
128400.0,Maison,85.0,4,270.0,1 41 AD,1510.5882352941176
946350.0,Maison,226.0,5,1000.0,1 180 AP,4187.3893805309735
178150.0,Maison,63.0,3,170.0,1 403 B,2827.777777777778
234500.0,Appartement,58.0,3,0.0,1 419 BN,4043.103448275862
147000.0,Maison,74.0,3,85.0,1 89 A,1986.4864864864865
1050000.0,Maison,140.0,5,1224.0,1 354 BE,7500.0
246330.0,Maison,113.0,4,1500.0,1 216 F,2179.9115044247787
110600.0,Appartement,137.0,5,0.0,1 283 AN,807.2992700729927
50000.0,Appartement,96.0,4,0.0,1 357 AB,520.8333333333334
156800.0,Appartement,35.0,2,0.0,1 173 AH,4480.0
42500.0,Appartement,23.0,2,0.0,1 247 B,1847.8260869565217
261670.0,Maison,97.0,4,867.0,1 33 AC,2697.6288659793813
647000.0,Appartement,70.0,3,0.0,1 160 AI,9242.857142857143
750000.0,Maison,158.0,6,810.0,1 401 C,4746.835443037975
519800.0,Maison,195.0,7,198.0,1 135 B,2665.641025641026
645000.0,Maison,140.0,5,213.0,1 71 AC,4607.142857142857
561550.0,Appartement,88.0,4,0.0,1 143 AE,6381.25
219700.0,Maison,120.0,5,568.0,1 421 AC,1830.8333333333333
53000.0,Maison,46.0,3,4037.0,1 17 WA,1152.1739130434783
59000.0,Maison,55.0,1,73.0,1 407 AB,1072.7272727272727
950000.0,Maison,209.0,9,523.0,1 419 BT,4545.454545454545
567700.0,Maison,113.0,5,132.0,1 143 H,5023.8938053097345
158275.0,Appartement,89.0,4,0.0,1 4 BT,1778.370786516854
729000.0,Maison,133.0,5,0.0,1 143 B,5481.203007518797
307300.0,Appartement,67.0,3,0.0,1 313 AM,4586.567164179104
284850.0,Maison,120.0,5,1952.0,1 73 H,2373.75
363800.0,Maison,204.0,11,1431.0,1 181 B,1783.3333333333333
162750.0,Maison,106.0,4,116.0,1 89 B,1535.377358490566
830000.0,Maison,218.0,6,791.0,1 419 BW,3807.3394495412845
98000.0,Maison,84.0,4,0.0,1 76 C,1166.6666666666667
146000.0,Maison,259.0,8,1427.0,1 60 AB,563.7065637065637
244900.0,Maison,92.0,5,946.0,1 363 AB,2661.9565217391305
79300.0,Appartement,65.0,3,0.0,1 396 AD,1220.0
147650.0,Maison,72.0,3,110.0,1 379 AE,2050.6944444444443
293725.0,Maison,106.0,5,64.0,1 4 AR,2770.990566037736
247620.0,Maison,119.0,6,237.0,1 199 AE,2080.840336134454
742900.0,Appartement,138.0,5,0.0,1 143 AH,5383.333333333333
395000.0,Maison,350.0,6,1205.0,1 234 A,1128.5714285714287
123100.0,Appartement,30.0,1,0.0,1 103 B,4103.333333333333
241496.0,Appartement,52.0,2,0.0,1 160 AM,4644.153846153846
107500.0,Appartement,25.0,1,0.0,1 399 AA,4300.0
328000.0,Maison,121.0,5,1190.0,1 213 B,2710.7438016528927
188620.0,Maison,65.0,3,134.0,1 99 D,2901.846153846154
128810.0,Appartement,52.0,2,0.0,1 202 F,2477.1153846153848
510000.0,Appartement,88.0,4,0.0,1 143 AK,5795.454545454545
613750.0,Appartement,143.0,6,0.0,1 143 AS,4291.958041958042
140000.0,Maison,95.0,4,1032.0,1 206 ZB,1473.6842105263158
158130.0,Maison,90.0,4,120.0,1 148 AC,1757.0
126350.0,Appartement,72.0,3,0.0,1 283 AE,1754.861111111111
268500.0,Maison,147.0,5,818.0,1 283 BD,1826.530612244898
169600.0,Appartement,64.0,3,0.0,1 173 AH,2650.0
280000.0,Appartement,60.0,3,0.0,1 436 B,4666.666666666667
620800.0,Maison,110.0,4,352.0,1 401 B,5643.636363636364
280330.0,Maison,55.0,3,1185.0,1 34 AM,5096.909090909091
286600.0,Appartement,75.0,3,0.0,1 160 AI,3821.3333333333335
139600.0,Maison,126.0,6,112.0,1 384 AD,1107.936507936508
1750000.0,Maison,110.0,5,1380.0,1 354 BE,15909.09090909091
140500.0,Appartement,68.0,3,0.0,1 4 BP,2066.176470588235
1200000.0,Maison,127.0,5,1394.0,1 354 BE,9448.818897637795
101050.0,Appartement,64.0,3,0.0,1 34 BK,1578.90625
394828.0,Appartement,90.0,4,0.0,1 354 AY,4386.977777777778
431450.0,Appartement,150.0,4,0.0,1 160 AE,2876.3333333333335
485000.0,Maison,96.0,4,403.0,1 313 AM,5052.083333333333
527000.0,Appartement,85.0,4,0.0,1 143 AL,6200.0
486415.0,Appartement,133.0,4,0.0,1 354 BD,3657.2556390977443
152790.0,Appartement,34.0,2,0.0,1 399 AA,4493.823529411765
131376.0,Appartement,50.0,3,0.0,1 138 AO,2627.52
460000.0,Maison,134.0,7,1726.0,1 33 AI,3432.8358208955224
346100.0,Maison,109.0,4,1364.0,1 33 AB,3175.229357798165
68860.0,Appartement,31.0,3,0.0,1 210 D,2221.2903225806454
60150.0,Maison,52.0,2,26.0,1 213 B,1156.7307692307693
190000.0,Maison,80.0,3,1088.0,1 366 AC,2375.0
600000.0,Appartement,74.0,3,0.0,1 143 H,8108.108108108108
143850.0,Maison,88.0,2,0.0,1 202 A,1634.659090909091
201000.0,Appartement,77.0,4,0.0,1 33 AM,2610.3896103896104
455000.0,Appartement,76.0,3,0.0,1 143 AR,5986.8421052631575
439321.0,Appartement,72.0,3,0.0,1 143 AK,6101.680555555556
274850.0,Maison,177.0,5,217.0,1 33 AB,1552.8248587570622
237900.0,Appartement,71.0,3,0.0,1 160 AI,3350.7042253521126
595200.0,Maison,139.0,6,1164.0,1 354 AW,4282.014388489209
355000.0,Maison,116.0,4,381.0,1 224 A,3060.344827586207
134625.0,Maison,121.0,4,132.0,1 421 AC,1112.603305785124
541000.0,Maison,140.0,5,304.0,1 103 B,3864.285714285714
177488.25,Appartement,40.0,2,0.0,1 158 B,4437.20625
196242.0,Maison,125.0,4,808.0,1 303 AE,1569.936
164665.0,Maison,68.0,3,0.0,1 4 AP,2421.544117647059
301000.0,Maison,141.0,6,1000.0,1 294 A,2134.751773049645
756470.0,Maison,154.0,6,443.0,1 313 AN,4912.142857142857
475150.0,Appartement,120.0,4,0.0,1 160 AD,3959.5833333333335
177470.0,Appartement,27.0,1,0.0,1 160 AM,6572.962962962963
465550.0,Appartement,132.0,4,0.0,1 354 BD,3526.8939393939395
78600.0,Maison,100.0,3,60.0,1 199 AD,786.0
570840.0,Maison,120.0,5,0.0,1 419 BR,4757.0
135700.0,Appartement,67.0,2,0.0,1 283 AB,2025.3731343283582
68500.0,Appartement,79.0,4,0.0,1 283 AL,867.0886075949367
449000.0,Maison,109.0,5,0.0,1 288 C,4119.266055045871
332500.0,Appartement,112.0,5,0.0,1 354 AX,2968.75
598400.0,Maison,128.0,6,702.0,1 399 AK,4675.0
416000.0,Maison,100.0,3,190.0,1 354 AW,4160.0
428000.0,Maison,95.0,4,0.0,1 313 AP,4505.263157894737
856250.0,Maison,186.0,6,915.0,1 313 BM,4603.4946236559135
224650.0,Appartement,56.0,2,0.0,1 160 AI,4011.6071428571427
542300.0,Appartement,131.0,4,0.0,1 354 BD,4139.694656488549
747550.0,Maison,143.0,5,732.0,1 399 AA,5227.622377622378
249910.0,Appartement,44.0,2,0.0,1 160 AI,5679.772727272727
